"","date","topic","city_state","smoothed_mean_within_day","year"
"341",2014-07-27,"Disaster","Philadelphia, PA",5.50000724467019,2014
"342",2014-07-27,"Sports","Philadelphia, PA",4.37642571697422,2014
"343",2014-07-27,"Weather","Philadelphia, PA",8.66936249969198,2014
"344",2014-07-28,"Politics","Philadelphia, PA",3.1528420111439,2014
"345",2014-07-28,"National Politics","Philadelphia, PA",1.09296013147543,2014
"346",2014-07-28,"Local Politics","Philadelphia, PA",2.19300525044346,2014
"347",2014-07-28,"Crime","Philadelphia, PA",8.34180477853281,2014
"348",2014-07-28,"Disaster","Philadelphia, PA",5.47694722654953,2014
"349",2014-07-28,"Sports","Philadelphia, PA",4.39618325847055,2014
"350",2014-07-28,"Weather","Philadelphia, PA",8.64116842411394,2014
"351",2014-07-29,"Politics","Philadelphia, PA",3.15066453505004,2014
"352",2014-07-29,"National Politics","Philadelphia, PA",1.09411044725626,2014
"353",2014-07-29,"Local Politics","Philadelphia, PA",2.19335916911516,2014
"354",2014-07-29,"Crime","Philadelphia, PA",8.34701240424417,2014
"355",2014-07-29,"Disaster","Philadelphia, PA",5.45428241332886,2014
"356",2014-07-29,"Sports","Philadelphia, PA",4.41569910830921,2014
"357",2014-07-29,"Weather","Philadelphia, PA",8.61365021820621,2014
"358",2014-07-30,"Politics","Philadelphia, PA",3.14859340738285,2014
"359",2014-07-30,"National Politics","Philadelphia, PA",1.09529986992779,2014
"360",2014-07-30,"Local Politics","Philadelphia, PA",2.19374910634368,2014
"361",2014-07-30,"Crime","Philadelphia, PA",8.35230036588778,2014
"362",2014-07-30,"Disaster","Philadelphia, PA",5.43200977041774,2014
"363",2014-07-30,"Sports","Philadelphia, PA",4.43497130190383,2014
"364",2014-07-30,"Weather","Philadelphia, PA",8.58680137220795,2014
"365",2014-07-31,"Politics","Philadelphia, PA",3.14662571489634,2014
"366",2014-07-31,"National Politics","Philadelphia, PA",1.09652700233538,2014
"367",2014-07-31,"Local Politics","Philadelphia, PA",2.19417319045095,2014
"368",2014-07-31,"Crime","Philadelphia, PA",8.35766404639378,2014
"369",2014-07-31,"Disaster","Philadelphia, PA",5.4101262632257,2014
"370",2014-07-31,"Sports","Philadelphia, PA",4.45399787466804,2014
"371",2014-07-31,"Weather","Philadelphia, PA",8.56061537635836,2014
"372",2014-08-01,"Politics","Philadelphia, PA",3.14475854434454,2014
"373",2014-08-01,"National Politics","Philadelphia, PA",1.09779044732439,2014
"374",2014-08-01,"Local Politics","Philadelphia, PA",2.1946295497589,2014
"375",2014-08-01,"Crime","Philadelphia, PA",8.3630988286923,2014
"376",2014-08-01,"Disaster","Philadelphia, PA",5.3886288571623,2014
"377",2014-08-01,"Sports","Philadelphia, PA",4.47277686201548,2014
"378",2014-08-01,"Weather","Philadelphia, PA",8.53508572089661,2014
